Date,Open,High,Low,Close,Adj Close,Volume
2000-01-18,3.708333,3.833333,3.541667,3.817708,3.539421,6541200
2000-01-19,3.833333,3.833333,3.750000,3.781250,3.505620,4117200
2000-01-20,3.812500,4.020833,3.739583,3.770833,3.495963,4489200
2000-01-21,3.760417,3.776042,3.635417,3.729167,3.457334,13606800
2000-01-24,3.848958,3.848958,3.541667,3.562500,3.302816,6423600
2000-01-25,3.578125,3.614583,3.416667,3.531250,3.273844,5928000
2000-01-26,3.531250,3.625000,3.322917,3.385417,3.138641,5811600
2000-01-27,3.411458,3.411458,3.083333,3.208333,2.974466,11455200
2000-01-28,3.166667,3.187500,2.989583,3.114583,2.887550,4861200
2000-01-31,3.130208,3.197917,2.916667,3.088542,2.863406,4560000
2000-02-01,3.093750,3.187500,2.979167,3.161458,2.931007,2324400
2000-02-02,3.177083,3.312500,3.161458,3.250000,3.013095,3726000
2000-02-03,3.354167,3.421875,3.281250,3.302083,3.061382,2706000
2000-02-04,3.406250,3.406250,3.312500,3.380208,3.133812,3092400
2000-02-07,3.395833,3.395833,3.166667,3.171875,2.940665,5437200
2000-02-08,3.250000,3.437500,3.166667,3.322917,3.080697,11720400
2000-02-09,3.447917,3.505208,3.401042,3.406250,3.157956,14726400
2000-02-10,3.614583,4.166667,3.614583,4.104167,3.804998,24252000
2000-02-11,4.307292,4.312500,3.864583,4.166667,3.862942,10594800
2000-02-14,4.177083,4.833333,4.135417,4.833333,4.481014,16252800
2000-02-15,4.843750,4.848958,4.447917,4.645833,4.307182,11262000
2000-02-16,4.697917,5.020833,4.645833,4.859375,4.505157,25489200
2000-02-17,4.854167,5.062500,4.781250,5.031250,4.664503,13394400
2000-02-18,4.958333,5.687500,4.921875,5.614583,5.205317,24021600
2000-02-22,5.437500,5.510417,5.250000,5.458333,5.060453,13562400
2000-02-23,5.395833,5.546875,5.328125,5.489583,5.089426,12784800
2000-02-24,5.520833,5.557292,5.208333,5.437500,5.041141,6108000
2000-02-25,5.442708,5.442708,4.875000,5.098958,4.727275,6968400
2000-02-28,5.072917,5.125000,4.979167,5.062500,4.693476,12946800
2000-02-29,5.031250,5.395833,5.031250,5.333333,4.944567,7651200
2000-03-01,5.333333,5.333333,5.093750,5.177083,4.799706,9589200
2000-03-02,5.218750,5.218750,4.812500,4.828125,4.476185,4776000
2000-03-03,4.833333,4.958333,4.791667,4.906250,4.548615,6842400
2000-03-06,4.937500,5.312500,4.833333,4.875000,4.519643,10802400
2000-03-07,6.250000,7.270833,5.979167,6.942708,6.436628,48805200
2000-03-08,6.938800,7.062500,6.437500,7.000000,6.489743,16718400
2000-03-09,7.083333,9.000000,7.062500,8.358067,7.748813,23823600
2000-03-10,8.791667,12.083333,8.729167,9.833333,9.116545,54030000
2000-03-13,8.916667,12.500000,8.833333,12.437500,11.530883,60379200
2000-03-14,12.369792,12.369792,9.000000,9.177083,8.508129,39194400
2000-03-15,9.834633,10.088542,8.500000,8.802083,8.160466,24890400
2000-03-16,9.083333,9.395833,7.718750,7.847650,7.275604,18759600
2000-03-17,7.666667,8.916667,7.665359,8.322917,7.716226,13940400
2000-03-20,8.651042,8.927083,8.052083,8.317708,7.711397,9132000
2000-03-21,8.333333,8.406250,7.250000,7.906250,7.329934,13416000
2000-03-22,7.968750,8.208333,7.833333,7.963542,7.383049,5764800
2000-03-23,7.890625,8.541667,7.875000,8.104167,7.513423,7735200
2000-03-24,8.052083,8.416667,7.500000,7.765625,7.199560,5790000
2000-03-27,7.750000,8.000000,7.187500,7.255208,6.726348,9723600
2000-03-28,7.005208,7.083333,6.583333,6.713542,6.224165,9832800
2000-03-29,6.739583,6.895833,6.000000,6.270833,5.813729,11736000
2000-03-30,6.083333,6.812500,5.875000,6.234375,5.779928,9048000
2000-03-31,6.660150,7.322917,6.541667,7.040359,6.527161,24074400
2000-04-03,6.976558,7.000000,6.307292,6.489583,6.016533,8248800
2000-04-04,6.833333,6.947917,4.750000,6.250000,5.794415,12844800
